,cnpj,collected
Juruena Participacoes e Investimentos S.A.,07.655.515/0001-79,
F. Xavier Kunst Administracao e Participacoes S.A.,91.669.135/0001-08,
Aguia Branca Participacoes S.A.,31.469.364/0001-49,
J.L. Participacoes e Comercio Agropastoril S.A.,78.906.369/0001-55,
Ediouro Grafica e Editora Participacoes S.A.,04.160.920/0001-28,
Hospital de Clinicas de Porto Alegre,87.020.517/0001-20,
Princecampos Participacoes S.A.,80.227.788/0001-02,
Ouro Verde Participacoes S.A.,08.106.196/0001-05,
Gemini Holding S.A.,05.887.456/0001-39,
OAS S.A.,14.811.848/0001-05,
BRVias Holding VRD S.A.,12.321.274/0001-61,
BRVias Holding TBR S.A.,09.347.081/0001-75,
Augustus Participacoes S.A.,51.548.691/0001-01,
Solvi Participacoes S.A.,02.886.838/0001-50,
Qualicorp Consultoria e Corretora de Seguros S.A.,11.992.680/0001-93,
Baia Sul Participacoes S.A.,09.606.001/0001-59,
Hacasa Administracao e Empreendimentos Imobiliarios S.A.,83.796.284/0001-00,
H. Carlos Schneider S.A. - Comercio e Industria,84.684.117/0001-21,
Companhia de Saneamento do Parana - Sanepar,76.484.013/0001-45,
Companhia de Saneamento do Parana - Sanepar,76.484.013/0001-45,
Companhia de Saneamento do Parana - Sanepar,76.484.013/0001-45,
Multiplan Empreendimentos Imobiliarios S.A.,07.816.890/0001-53,
Companhia Riograndense de Saneamento ,92.802.784/0001-90,
Hemava Administracao e Empreendimentos S.A.,47.970.116/0001-17,
DGB Logistica Distribuicao Geografica do Brasil S.A.,03.555.201/0001-43,
Companhia Habitasul de Participacoes,87.762.563/0001-03,
Companhia Habitasul de Participacoes,87.762.563/0001-03,
Companhia Habitasul de Participacoes,87.762.563/0001-03,
Consorcio Alfa de Administracao S.A.,17.193.806/0001-46,
Consorcio Alfa de Administracao S.A.,17.193.806/0001-46,
Consorcio Alfa de Administracao S.A.,17.193.806/0001-46,
Consorcio Alfa de Administracao S.A.,17.193.806/0001-46,
Consorcio Alfa de Administracao S.A.,17.193.806/0001-46,
Consorcio Alfa de Administracao S.A.,17.193.806/0001-46,
Consorcio Alfa de Administracao S.A.,17.193.806/0001-46,
LPS Brasil - Consultoria de Imoveis S.A.,08.078.847/0001-09,
Concessionaria Rodovia Presidente Dutra S.A.,00.861.626/0001-92,
Life Care Empreendimentos e Participacoes S.A.,07.794.014/0001-73,
Josema Administracao e Participacao S.A.,07.760.938/0001-59,
JEMF Participacoes S.A.,05.062.394/0001-26,
Universo Online S.A.,01.109.184/0001-95,
Erman Participacoes S.A.,05.062.376/0001-44,
UBS Brasil Participacoes S.A.,08.504.652/0001-75,
MRV Engenharia e Participacoes S.A.,08.343.492/0001-20,
Rumo Malha Paulista S.A.,02.502.844/0001-66,
Diniz Participacoes S.A.,67.378.802/0001-00,
Certipar S.A.,03.839.405/0001-06,
EDSP88 Participacoes S.A.,08.720.701/0001-07,
Columbus Holdings S.A.,09.092.789/0001-22,
Diagnosticos da America S.A.,61.486.650/0001-83,
Brasil Warrant Administracao de Bens e Empresas S.A.,33.744.277/0001-88,
Companhia E. Johnston de Participacoes,04.679.283/0001-09,
Sol Levante Participacoes S.A.,05.608.178/0001-33,
Bricor Empreendimentos e Participacoes S.A.,03.207.055/0001-65,
Uniao Industrial e Mercantil Brasileira S.A.,61.339.172/0001-89,
Parana Midia Participacoes S.A.,05.308.740/0001-03,
Convergencia Participacoes S.A.,06.120.367/0001-25,
Romagnole Participacoes S.A.,10.209.984/0001-79,
Nova Cidade de Deus Participacoes S.A.,04.866.462/0001-47,
Lumar Administracao de Bens S.A.,59.411.470/0001-90,
BBD Participacoes S.A.,07.838.611/0001-52,
Arnaldo Ulmann Participacoes e Administracao S.A.,04.602.779/0001-76,
Algar S.A. Empreendimentos e Participacoes,17.835.026/0001-52,
Enesa Participacoes S.A.,09.217.349/0001-54,
Bahema Educacao S.A.,45.987.245/0001-92,
Joao Ometto Participacoes S.A.,47.796.594/0001-52,
Odebrecht TransPort Participacoes S.A.,10.143.462/0001-11,
Ferrara Participacoes S.A.,09.225.197/0001-31,
EZ TEC Empreendimentos e Participacoes S.A.,08.312.229/0001-73,
Viver Incorporadora e Construtora S.A.,67.571.414/0001-41,
Prime Incorporacoes e Construcoes S.A.,00.409.834/0001-55,
Rede Power Holding de Energia S.A.,00.412.685/0001-83,
IUPAR - Itau Unibanco Participacoes S.A.,04.676.564/0001-08,
Macking Participacoes S.A.,65.482.598/0001-48,
Santa Maria Participacoes S.A.,03.186.900/0001-63,
CPLPAR Holding S.A.,12.073.918/0001-40,
Bradespar S.A.,03.847.461/0001-92,
Bradespar S.A.,03.847.461/0001-92,
Bolero Participacoes S.A.,10.894.123/0001-77,
Jobelpa S.A.,01.150.611/0001-89,
Alphalund - Companhia de Participacoes e Investimentos,02.967.723/0001-90,
Guves Investimentos e Participacoes S.A.,09.067.673/0001-33,
TPI - Log S.A.,10.228.616/0001-78,
Compar Participacoes S.A.,05.935.402/0001-00,
Neje Administracao e Participacoes S.A.,81.421.190/0001-12,
Textilia S.A.,54.485.982/0001-88,
Unibanco Participacoes Societarias S.A.,04.662.287/0001-76,
Companhia Castor de Participacoes Societarias,81.692.295/0001-06,
Ferragens Vianna S.A. Importadora e Comercio em Geral,92.192.236/0001-95,
Peroli S.A. Participacoes,01.093.994/0001-09,
Tele Norte Leste Participacoes S.A.,02.558.134/0001-58,
Intercement Participacoes S.A.,10.456.140/0001-22,
MRC Participacoes S.A.,05.062.355/0001-29,
AEM Participacoes S.A.,05.062.403/0001-89,
Odebrecht Servicos e Participacoes S.A.,10.904.193/0001-69,
Verona Negocios e Participacoes S.A.,60.096.153/0001-06,
Erebango Participacoes S.A.,07.487.113/0001-02,
Grendene Negocios S.A.,04.819.807/0001-01,
H+ Participacoes S.A.,07.655.097/0001-10,
Marthom S.A.,01.189.842/0001-04,
Cidade de Deus Companhia Comercial de Participacoes,61.529.343/0001-32,
Helio Borenstein S.A. - Administracao. Participacao e Comercio,52.541.307/0001-01,
Tropico Sistemas e Telecomunicacoes S.A.,03.072.108/0001-88,
Miramar Holdings S.A.,09.060.272/0001-51,
Ultra S.A. Participacoes,54.041.439/0001-91,
Santa Terezinha Participacoes S.A.,79.109.237/0001-65,
GVT Holding S.A.,03.420.904/0001-64,
Hejoassu Administracao S.A.,61.194.148/0001-07,
Camargo Correa Construcoes e Participacoes S.A.,11.196.609/0001-02,
Alexandre G. Bartelle Participacoes S.A.,04.819.746/0001-82,
Faculdades de Campinas S.A.,04.583.455/0001-38,
Novo Mundo Holding Financeira S.A.,08.103.049/0001-81,
Uptick Participacoes S.A.,02.162.616/0001-94,
Andrade & Latorre Participacoes S.A.,50.931.237/0001-64,
Construtora Lix da Cunha S.A.,46.014.635/0001-49,
Promon Empreendimentos e Participacoes S.A.,60.606.209/0001-25,
Jardins da Barra Desenvolvimento Imobiliario S.A.,09.253.266/0001-10,
Colt Taxi Aereo S.A.,07.286.824/0001-19,
Vikstar Contact Center S.A. ,08.075.274/0001-51,
NCF Participacoes S.A.,04.233.319/0001-18,
Suata Servico Unificado de Armazenagem e Terminal Alfandegado S.A.,03.928.105/0001-01,
Cetil Informatica S.A.,82.660.440/0001-30,
Cel-Lep Ensino de Idiomas S.A.,10.772.420/0001-40,
Trevisa Investimentos S.A.,92.660.570/0001-26,
Trevisa Investimentos S.A.,92.660.570/0001-26,
Companhia Bozano,42.113.662/0001-18,
April Brasil Turismo Viagem e Assistencia Internacional S.A.,04.789.159/0001-98,
Brazal - Brasil Alimentos S.A.,10.826.798/0001-89,
Monte Berico Participacoes S.A.,05.681.645/0001-50,
Construtora Sultepa S.A.,89.723.993/0001-33,
Companhia Mascote de Empreendimentos,54.849.047/0001-53,
Tramontina Internacional S.A.,04.693.723/0001-74,
SDV Administradora de Shopping Centers S.A. ,93.167.658/0001-73,
Arvore S.A. Empreendimentos e Participacoes,66.444.548/0001-39,
Tempo Participacoes S.A.,06.977.739/0001-34,
Service Care Participacoes e Negocios S.A.,03.057.865/0001-82,
Amil Planos Por Administracao Ltda.,03.991.125/0001-19,
Enox Publicidade S.A.,05.963.175/0001-18,
Riomar Shopping Aracaju S.A.,08.476.801/0001-30,
Thomson Reuters Brasil Conteudo e Tecnologia Ltda.,00.910.509/0001-71,
Chami Empreendimentos S.A.,34.125.641/0001-94,
Termini S.A.,64.805.187/0001-83,
Difusa Empreendimentos S.A.,09.302.564/0001-53,
Atromeia Empreendimentos S.A.,09.554.246/0001-80,
Memorial Hospital S.A.,03.968.404/0001-61,
Sergen Servicos Gerais de Engenharia S.A.,33.161.340/0001-53,
Imoleve Alpha Empreendimentos Imobiliarios S.A.,07.903.386/0001-90,
Costa Sao Caetano Empreendimentos S.A.,08.675.595/0001-97,
Bertini do Brasil Ltda.,11.140.607/0001-93,
Setep Construcoes S.A.,83.665.141/0001-50,
G2C Globosat Comercializacao de Conteudos S.A.,01.007.021/0001-00,
Nicandra Empreendimentos S.A.,09.328.389/0001-73,
Diantus Empreendimentos S.A.,09.071.500/0001-99,
Piracanta Empreendimentos S.A.,08.227.502/0001-61,
Acalifa Empreendimentos S.A.,09.072.641/0001-26,
City Offices Investimentos Imobiliarios S.A.,10.879.725/0001-55,
Villanova Engenharia e Desenvolvimento Ambiental S.A.,04.373.329/0001-59,
Werner S.A. Agricultura Industria e Comercio,82.645.722/0001-68,
Companhia de Informatica de Jundiai - Cijun,67.237.644/0001-79,
Companhia de Habitacao da Baixada Santista ,58.158.635/0001-00,
TB Servicos. Transporte. Limpeza. Gerenciamento e Recursos Humanos S.A.,60.924.040/0001-51,
Auto Viacao Alpha S.A.,33.500.984/0001-29,
Integral Transporte e Agenciamento Maritimo Ltda.,43.145.945/0001-04,
Nucleo Engenharia Consultiva S.A.,38.894.804/0001-54,
Revita Engenharia S.A.,08.623.970/0001-55,
Televisao Tuiuti S.A.,92.236.314/0001-06,
Viacao Belem Novo S.A.,92.693.829/0001-35,
DCSnet S.A.,04.049.006/0001-04,
Siscobras Sistemas Construtivos do Brasil S.A.,10.724.897/0001-50,
GPS Logistica e Gerenciamento de Riscos S.A.,01.000.786/0001-00,
Eadi Taubate Ltda.,03.781.767/0001-93,
REC 844 Empreendimentos e Participacoes S.A.,06.349.242/0001-71,
Transmix Engenharia Industria e Comercio S.A.,60.955.465/0001-28,
W.M. Empreendimentos Imobiliarios S.A.,33.497.967/0001-80,
Meta Servicos em Informatica S.A.,93.655.173/0001-29,
Terminal de Veiculos de Santos S.A.,07.380.119/0001-86,
Vicar Promocoes Desportivas S.A.,00.532.511/0001-54,
Jose Kalil S.A. Participacoes e Empreendimentos,60.937.653/0001-23,
Euriabe Empreendimentos S.A.,09.578.126/0001-12,
Viana & Moura Construcoes S.A.,02.737.577/0001-06,
Clear Sale S.A.,03.802.115/0001-98,
Digipix Grafica Digital S.A.,06.972.254/0001-58,
Galwan Construtora e Incorporadora S.A.,31.705.692/0001-05,
Atlas S.A. Empreendimentos e Participacoes,67.233.668/0001-50,
Serasa S.A.,62.173.620/0001-80,
Saneaqua Mairinque S.A.,12.323.568/0001-22,
Curupira S.A.,04.413.729/0001-40,
Empresa Municipal de Turismo de Belo Horizonte S.A. - Belotur,21.835.111/0001-98,
Grafinorte S.A.,03.758.336/0001-06,
Sai Azul S.A.,04.321.602/0001-00,
Central de Tratamento de Residuos Alcantara S.A.,07.090.691/0001-00,
BR Marinas Gloria S.A.,11.107.074/0001-48,
Distribuidora de Filmes S.A. - Riofilme,68.610.302/0001-15,
Luxor Participacao S.A.,33.858.150/0001-90,
Lance Empreendimentos e Participacoes S.A.,04.858.881/0001-37,
Stripcenter Participacoes S.A.,02.174.055/0001-43,
Rio Office Park 3 S.A.,09.162.156/0001-43,
Rio Office Park 2 S.A.,09.077.990/0001-30,
Passos Campos Comercio S.A.,03.734.278/0001-80,
Irmazi Participacoes S.A.,19.887.579/0001-84,
Casa Santa Luzia Empreendimentos S.A.,00.899.277/0001-06,
Algar TI Consultoria S.A.,05.510.654/0001-89,
Aitec do Brasil S.A.,04.255.001/0001-38,
Algar Seguranca e Vigilancia Ltda.,02.707.116/0001-90,
Wiz Solucoes e Corretagem de Seguros S.A.,42.278.473/0001-03,
Kirton Corretora de Seguros S.A.,43.638.022/0001-94,
Editora Abril S.A.,02.183.757/0001-93,
CSU CardSystem S.A.,01.896.779/0001-38,
Construtora Tenda S.A.,71.476.527/0001-35,
Pares Empreendimentos e Participacoes S.A.,43.761.758/0001-55,
Campi Participacoes S.A.,05.167.738/0001-61,
VR Holdings S.A.,11.867.297/0001-03,
Belgravia Servicos e Participacoes S.A.,71.884.431/0001-06,
Fundacao Universidade de Caxias do Sul,88.648.761/0001-03,
Brookfield Sao Paulo Empreendimentos Imobiliarios S.A.,58.877.812/0001-08,
Combrascan Shopping Centers S.A.,28.189.439/0001-23,
RJ Capital Partners S.A.,08.281.683/0001-04,
CYMI Construcoes e Participacoes S.A.,07.003.107/0001-32,
Litel Participacoes S.A.,00.743.065/0001-27,
Litel Participacoes S.A.,00.743.065/0001-27,
Tabu Participacoes e Investimentos S.A.,27.839.323/0001-20,
Flama Participacoes S.A.,01.688.374/0001-04,
Companhia de Urbanizacao de Blumenau,82.669.037/0001-71,
Casa de Saude e Maternidade Nossa Senhora de Fatima S.A.,23.338.387/0001-96,
Itausa - Investimentos Itau S.A.,61.532.644/0001-15,
Itausa - Investimentos Itau S.A.,61.532.644/0001-15,
Hatch Consultoria em Projetos S.A.,36.251.460/0001-30,
Fundacao de Ensino e Tecnologia de Alfenas,17.878.554/0001-99,
Alper Energia S.A.,09.388.615/0001-01,
XX de Novembro Investimentos e Participacoes S.A.,03.538.833/0001-07,
Rossi Residencial S.A.,61.065.751/0001-80,
Alfa Holdings S.A.,17.167.396/0001-69,
Alfa Holdings S.A.,17.167.396/0001-69,
Alfa Holdings S.A.,17.167.396/0001-69,
Edenred Brasil Participacoes S.A.,42.169.508/0001-68,
Porto Seguro Itau Unibanco Participacoes S.A.,11.342.322/0001-35,
Participacoes Morro Vermelho S.A.,03.987.192/0001-60,
Rosag Empreendimentos e Participacoes S.A.,59.884.445/0001-24,
GSM Administracao e Participacao S.A. ,81.164.683/0001-14,
Criteria S.A. Avaliacao e Cobranca,54.250.105/0001-28,
Rio Purus Participacoes S.A.,60.078.060/0001-59,
Edenred Solucoes de Pagamento Hyla S.A.,59.158.642/0001-66,
Shaula Empreendimentos e Participacoes Ltda.,09.416.417/0001-04,
Travel Technology Interactive do Brasil S.A.,00.182.959/0001-95,
Rio Grande Ambiental - Servicos de Limpeza Urbana e Tratamento de Residuos S.A.,07.599.667/0001-00,
Perfil Engenharia S.A.,20.524.237/0001-89,
Movile Internet Movel S.A.,08.654.191/0001-17,
Trafti Logistica S.A.,59.305.573/0001-76,
Viabahia Concessionaria de Rodovias S.A.,10.670.314/0001-55,
Telvent Brasil S.A.,31.432.685/0001-79,
Companhia de Desenvolvimento Rio Verde - Codeverde,16.151.532/0001-60,
Pitang Consultoria e Sistemas S.A.,06.214.736/0001-49,
GLP Imigrantes Empreendimentos Imobiliarios S.A.,08.707.602/0001-95,
Bem Promotora de Vendas e Servicos S.A.,10.397.031/0001-81,
Dtcom - Direct To Company S.A.,03.303.999/0001-36,
Dtcom - Direct To Company S.A.,03.303.999/0001-36,
Somos Educacao S.A.,02.541.982/0001-54,
Stein SP II Participacoes S.A. ,12.592.746/0001-10,
Rochavera Desenvolvimento Imobiliario Ltda.,03.609.818/0001-02,
Lorne Engenharia S.A.,04.120.900/0001-23,
Grandpar Intermediacao de Negocios e Participacoes S.A.,01.625.297/0001-43,
Inecap Investimentos S.A.,08.473.731/0001-66,
Centennial Asset Participacao Minas-Rio S.A.,07.949.970/0001-87,
Itau Consultoria de Valores Mobiliarios e Participacoes S.A.,58.851.775/0001-50,
Sarfaty Empreendimentos S.A.,71.930.663/0001-53,
DRM - Servicos de Consultoria Ltda.,59.831.438/0001-64,
Elog S.A.,09.027.179/0001-45,
Linea Amarilla Brasil Participacoes S.A. - Lambra,11.395.604/0001-09,
Technip Operadora Portuaria S.A.,10.719.774/0001-20,
Linhares Brasil Energia Participacoes S.A.,10.375.812/0001-75,
Combrashop - Companhia Brasileira de Shopping Centers ,78.238.813/0001-01,
MRV Empreendimentos e Participacoes S.A.,29.528.320/0001-09,
Jacob & Daniel Participacoes S.A.,07.161.900/0001-60,
Porto Sudeste do Brasil S.A.,08.310.839/0001-38,
HE 02 Participacoes S.A.,05.872.768/0001-79,
R.C.N.P.N. Empreendimentos e Participacoes S.A.,09.594.480/0001-30,
Brazilian Finance & Real Estate S.A.,02.762.113/0001-50,
Rio Bonito Participacoes S.A.,05.743.942/0001-83,
L.I.S.A. Logistica Integrada Sulamericana S.A.,08.248.539/0001-76,
LBS Local S.A.,03.980.538/0001-06,
Grupo Soma S.A. Participacoes e Negocios ,00.788.410/0001-49,
Viacao Pavunense S.A.,33.521.931/0001-94,
Foz Jaguaribe Construcao e Locacao S.A.,09.608.734/0001-22,
Viacao Nossa Senhora das Gracas S.A.,01.462.285/0001-45,
Nordeste Quimica S.A. - Norquisa,15.659.535/0001-46,
Uniao Administracao. Participacoes e Investimentos S.A.,21.669.288/0001-61,
Ficom S.A.,27.885.938/0001-92,
PCP Latin America Power S.A.,08.435.576/0001-93,
Tres Morros Participacoes S.A.,10.217.407/0001-29,
RME - Rio Minas Energia Participacoes S.A.,07.925.628/0001-47,
MDL Realty Incorporadora S.A.,08.560.999/0001-35,
Prumo Logistica S.A.,08.741.499/0001-08,
Serel Participacoes em Imoveis S.A.,72.712.201/0001-22,
LM Participacoes S.A.,07.488.024/0001-80,
Monembasia Participacoes S.A.,07.488.044/0001-51,
Mabe Participacoes S.A.,07.488.147/0001-11,
Alianca Participacoes S.A.,11.159.404/0001-49,
Pinto de Almeida Investimentos S.A.,40.432.957/0001-21,
Rio Trens Participacoes S.A.,02.720.700/0001-86,
Nova Narita Investimentos e Participacoes S.A.,08.784.745/0001-09,
ALB BE Participacoes S.A.,06.015.566/0001-73,
LOG Commercial Properties Participacoes S.A.,09.041.168/0001-10,
REC Cipasa S.A.,12.855.419/0001-04,
Newtel Participacoes S.A.,02.604.997/0001-14,
Jose Alencar Gomes da Silva - Comercio. Participacoes e Empreendimentos S.A.,25.329.301/0001-94,
Lobea Participacoes S.A.,62.419.635/0001-85,
Trapezio S.A.,21.793.096/0001-62,
Alcobaca Consultoria e Participacoes S.A.,02.073.234/0001-94,
GEN - Grupo Editorial Nacional Participacoes S.A.,08.914.167/0001-70,
BR Properties S.A.,06.977.751/0001-49,
Copacabana Prince Participacoes S.A.,09.462.850/0001-86,
Abril Comunicacoes S.A.,44.597.052/0001-62,
MTG Administracao Assessoria e Participacoes S.A.,74.492.604/0001-39,
Monteiro Aranha S.A.,33.102.476/0001-92,
CVI - Companhia Vontobel de Investimentos,73.595.548/0001-03,
Monte Carlo Participacoes S.A.,31.710.106/0001-02,
Szajman Participacoes Societarias S.A.,07.907.358/0001-41,
Garla Participacoes S.A.,05.569.067/0001-65,
Alianca REV Participacoes S.A.,12.723.503/0001-74,
Sul 116 Participacoes S.A.,01.957.772/0001-89,
Alper Consultoria e Corretora de Seguros S.A.,11.721.921/0001-60,
Aliansce Shopping Centers S.A.,06.082.980/0001-03,
PMBCP BI S.A.,07.236.514/0001-90,
LDI Desenvolvimento Imobiliario S.A.,07.071.841/0001-39,
Neumarkt Trade and Financial Center S.A.,00.192.769/0001-59,
CFL Participacoes S.A.,60.078.045/0001-00,
Forpart S.A.,00.249.786/0001-85,
CEU - Construcoes e Engenharia Urbana S.A.,30.082.267/0001-36,
GS Shopping Center S.A.,07.620.089/0001-38,
DPZ&T Comunicacoes Ltda.,73.163.529/0001-08,
Localpar Participacoes S.A.,11.196.697/0001-34,
R.C.A.B.O N. Empreendimentos e Participacoes S.A.,09.594.448/0001-55,
Haitong Negocios S.A.,01.394.953/0001-44,
R.R.R.P.N Empreendimentos e Participacoes S.A.,09.608.284/0001-78,
Z-Paulista Administracao de Bens e Servicos S.A.,04.530.921/0001-17,
Fator Holding Financeira S.A.,01.537.269/0001-74,
Cipesa Empreendimentos Imobiliarios S.A.,08.700.594/0001-55,
Saga Capital S.A.,07.728.040/0001-01,
Transminas Holding S.A.,08.374.879/0001-43,
REP - Real Estate Partners Desenvolvimento Imobiliario S.A.,08.572.741/0001-59,
Partsil Empreendimentos e Participacoes S.A.,61.314.787/0001-50,
Rogga S.A. Construtora e Incorporadora,08.486.781/0001-88,
Socimed Servicos Hospitalares S.A.,01.595.799/0001-79,
TGD - Teleglobal Digital S.A.,04.710.973/0001-75,
Integritas Participacoes S.A.,05.505.174/0001-20,
NDDigital S.A. - Software,06.255.692/0001-03,
Carlisa S.A. Empreendimentos e Participacoes,00.473.895/0001-81,
Catumbi Empreendimentos e Participacoes S.A.,02.904.978/0001-03,
Latin Promo S.A.,04.098.955/0001-84,
Tora Logistica Armazens e Terminais Multimodais S.A.,66.702.325/0001-24,
MGI - Minas Gerais Participacoes S.A.,19.296.342/0001-29,
Edenred Servicos e Participacoes S.A.,08.767.322/0001-72,
Somague Engenharia S.A. do Brasil,05.055.482/0001-09,
BCMD Participacoes S.A. ,55.363.469/0001-87,
W. Chieppe Participacoes S.A.,31.710.189/0001-30,
Logz - Logistica Brasil S.A. ,10.995.163/0001-05,
Nova Pirajui Administracao S.A. ,10.458.164/0001-10,
FBL S.A. Administracao e Participacoes,26.151.720/0001-41,
PIN Petroquimica Participacoes S.A.,05.566.996/0001-10,
Gold Negocios e Participacoes S.A.,92.620.574/0001-80,
OJC Administracao e Participacoes S.A.,37.877.644/0001-72,
Rio Quente Empreendimentos e Participacoes S.A.,01.808.716/0001-82,
Regimar Comercial S.A.,48.752.729/0001-40,
Imocop Empreendimentos e Participacoes S.A.,08.757.934/0001-84,
Clinica da Gavea S.A.,33.501.214/0001-09,
Trip Participacoes S.A.,09.229.532/0001-70,
TEL - Transportes Estrela S.A.,33.535.568/0001-66,
Triage Empreendimentos e Participacoes S.A.,09.607.519/0001-07,
MXM Sistemas e Servicos de Informatica S.A.,39.847.728/0001-99,
Itacolomi Participacoes S.A.,03.978.125/0001-89,
C.S. Participacoes e Empreendimentos S.A.,80.503.972/0001-38,
BBM Holding S.A.,04.768.114/0001-37,
Odebrecht Realizacoes e Investimentos S.A.,12.346.670/0001-43,
Alab BI S.A.,06.007.483/0001-32,
Saag Investimentos S.A.,11.616.840/0001-08,
Valepar S.A.,01.772.413/0001-57,
Augustus Holding S.A.,09.334.007/0001-14,
Alopar Participacoes S.A.,20.692.513/0001-18,
Padovas Participacoes S.A.,09.263.545/0001-65,
Lauro Oliveira S.A. Administracao e Comercio,92.193.101/0001-44,
Tamp S.A.,57.093.148/0001-35,
Cury Construtora e Incorporadora S.A.,08.797.760/0001-83,
524 Participacoes S.A.,01.851.771/0001-55,
ZI Blue S.A.,32.222.218/0001-87,
Daleth Participacoes S.A.,02.312.604/0001-07,
Koerich Holding S.A.,75.348.326/0001-03,
CD Administracao e Participacao S.A.,44.596.203/0001-68,
Valetron S.A.,01.772.313/0001-20,
Framafi Participacoes S.A.,31.867.088/0001-77,
VR Desenvolvimento Imobiliario S.A.,11.626.825/0001-32,
MMX Porto Sudeste S.A.,10.312.789/0001-70,
PW 233 Participacoes S.A.,04.968.168/0001-46,
SBBrast Participacoes S.A.,09.480.651/0001-09,
BRTLC Holding S.A.,65.627.184/0001-60,
Joinvanas Participacoes S.A.,07.519.608/0001-76,
Zagora Administracao de Bens S.A.,08.671.874/0001-82,
F. Mota Participacoes S.A.,55.663.710/0001-93,
Camargo Correa Energia S.A.,04.922.357/0001-88,
Atila Holdings S.A.,07.305.671/0001-00,
Camargo Correa Investimentos em Infra-Estrutura S.A.,02.372.232/0001-04,
BTG Pactual Holding S.A.,10.923.227/0001-62,
Siena Comercio e Participacoes S.A.,51.594.877/0001-99,
Bela Vista Participacoes S.A.,07.488.139/0001-75,
Auriga Participacoes S.A.,07.488.097/0001-72,
Palo Alto Investimentos S.A.,03.948.383/0001-12,
Girassol Investimentos S.A.,04.819.758/0001-07,
Smart. Net Holdings S.A.,04.797.621/0001-07,
Figusbel Participacoes S.A.,07.488.073/0001-13,
Augustus Administracao S.A.,09.334.091/0001-76,
Igua Saneamento S.A.,08.159.965/0001-33,
Queiroz Galvao Desenvolvimento de Negocios S.A.,02.538.768/0001-49,
Empresa Concessionaria de Rodovias do Norte S.A.,02.222.736/0001-30,
Queiroz Galvao S.A.,02.538.798/0001-55,
Gerdau America Latina Participacoes S.A.,07.430.351/0001-81,
Quis Participacoes S.A.,08.604.362/0001-01,
Aliansce Sonae Shopping Centers S.A.,05.878.397/0001-32,
PortX Operacoes Portuarias S.A.,10.846.981/0001-46,
Palhagoes Patrimonial e Participacoes S.A.,10.570.982/0001-00,
Moneo Investimentos S.A.,07.125.291/0001-93,
RBS TV Comunicacoes S.A.,07.504.077/0001-48,
Elgar S.A. Participacoes,66.444.563/0001-87,
Bgpar S.A. ,04.987.555/0001-20,
JCPM Participacoes e Empreendimentos S.A.,11.483.096/0001-02,
Giassi Administradora de Bens S.A.,07.701.000/0001-68,
Gerdau BG Participacoes S.A.,00.183.938/0001-94,
SNB Participacoes S.A.,73.903.718/0001-61,
Azevedo & Travassos S.A.,61.351.532/0001-68,
Azevedo & Travassos S.A.,61.351.532/0001-68,
Empresa Viacao Ideal S.A.,33.197.161/0001-76,
Repom S.A.,65.697.260/0001-03,
Porto Velho Shopping S.A.,08.781.731/0001-23,
Hospital e Maternidade Santa Monica S.A.,23.772.726/0001-48,
Andrade Mendonca Construcoes e Empreendimentos S.A.,11.032.465/0001-40,
Salus Empreendimentos Logisticos S.A.,09.426.513/0001-33,
Companhia Estadual de Habitacao Popular,09.111.618/0001-01,
STVD Holdings S.A.,60.688.256/0001-65,
Boa Vista Servicos S.A.,11.725.176/0001-27,
Hospital Ama S.A.,56.902.018/0001-33,
WorleyParsons Engenharia S.A.,11.050.205/0001-06,
ParPerfeito Comunicacao S.A.,03.671.059/0001-08,
Catarinense Engenharia Ambiental S.A.,03.720.956/0001-56,
Data Traffic S.A.,01.175.068/0001-74,
J. B. World Entretenimentos S.A.,85.248.987/0001-10,
Cipher S.A.,03.970.788/0001-57,
AG2 - Agencia de Inteligencia Digital S.A.,03.151.711/0001-55,
Companhia de Habitacao Popular de Campinas - Cohab/Campinas,46.044.871/0001-08,
Concessionaria Porto Novo S.A.,12.749.710/0001-06,
Localfrio Itajai S.A. Armazens Gerais Frigorificos,07.046.834/0001-87,
Autopass S.A.,07.140.538/0001-40,
Companhia de Engenharia de Trafego do Rio de Janeiro - CET-RIO,31.976.434/0001-55,
Construtora Queiroz Galvao S.A.,33.412.792/0001-60,
Companhia Hoteis Palace,33.374.984/0001-20,
Belmond Brasil Hoteis S.A.,32.579.013/0001-53,
EBMA - Empresa Brasileira de Meio Ambiente S.A.,01.369.424/0001-90,
Astro Internacional S.A.,05.360.244/0001-07,
Solaris Empreendimentos S.A.,11.522.323/0001-61,
Itau Corretora de Seguros S.A.,43.644.285/0001-06,
GDK S.A.,34.152.199/0001-95,
Serveng-Civilsan S.A. Empresas Associadas de Engenharia,48.540.421/0001-31,
Empresa Brasileira de Correios e Telegrafos,34.028.316/0001-03,
Indra Brasil Solucoes e Servicos Tecnologicos S.A.,01.645.738/0001-79,
Alfa Empreendimentos Imobiliarios S.A.,09.502.948/0001-10,
Fundacao Getulio Vargas,33.641.663/0001-44,
Schahin Engenharia S.A.,61.226.890/0001-49,
Companhia de Saneamento Ambiental do Distrito Federal - CAESB,00.082.024/0001-37,
Telemont Engenharia de Telecomunicacoes S.A.,18.725.804/0001-13,
Infopar Participacoes S.A.,07.807.734/0001-26,
